date,tweets,user,clean_text1
2015-07-07,"Karena di luar kota , saya melewatkan parade budaya #BALITOLAKREKLAMASI . Tadi SID diwakili @baliekarock & anaknya :)",JRX_SID,kota melewatkan parade budaya sid diwakili anak
2015-06-29,Suksma semua yg ke #PenggakMenMersi tadi . Lawan terus sampai robot -robot itu karatan dan mati ! #BALITOLAKREKLAMASI,JRX_SID,suksma lawan robot robot karatan mati
2015-06-14,Outsiders dgn selera berpakaian tidak simpang siur memberi lukisan bertema #BALITOLAKREKLAMASI di Lampung . Gagah !,JRX_SID,outsiders selera berpakaian simpang siur lukisan bertema lampung gagah
2015-06-14,Haha . Malaikat nakal . RT @Ryaannakbar Gimana imut gak bli ? JRX #xRMBLx #BaliTolakReklamasi,JRX_SID,malaikat nakal gimana imut jrx
2015-05-26,"Acara seru besok di kampus UNHI , Tembau , Penatih , Denpasar . Yuk sambangi ! #BaliTolakReklamasi #sebarkan",JRX_SID,acara seru besok kampus unhi tembau penatih denpasar ayo sambangi
2015-05-25,"Ayo #Bergerak dalam #ParadeBudaya , Kamis 28 Mei 2015 . #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad #SEBARKAN",JRX_SID,ayo kamis twentyeight mei
2015-05-07,"Ramaikan @OSD_BALI 6th Anniversary #KutaBeachCleanup 10 Mei , 2PM . Serempak kenakan kaos #BaliTolakReklamasi !!!",JRX_SID,ramaikan 6th anniversary ten mei serempak kenakan kaos
2015-05-04,Gagah . Terima kasih . RT @reshulg tadi secara langsung saya teriakan #balitolakreklamasi saat jokowi kluar mobil ...,JRX_SID,gagah terima kasih langsung teriakan jokowi mobil
2015-04-26,"Hari ini ada @Rumble_Empire di Singaraja ! Lapangan kampus tengah Undiksha , sampai jam 10 ! #BaliTolakReklamasi",JRX_SID,singaraja lapangan kampus undiksha jam ten
2015-04-25,Aduh . RT @Ayurachmadanii Sudah cantik belom om  #rmblfedora #ladyrose #balitolakreklamasi JRX @xRMBLx,JRX_SID,aduh cantik belom jrx
2015-04-13,!!! RT @xRMBLx Bobby @marjinalanarcho saat berkunjung ke lapak @ForBALI13 . #BaliTolakReklamasi,JRX_SID,bobby berkunjung lapak
2015-04-08,"Jakarta ! Kaos #BaliTolakReklamasi resmi dari @ForBALI13 bisa didapatkan di sini , dari 10 - 12 April 2015 !  #plsRT",JRX_SID,jakarta kaos resmi didapatkan april
2015-04-07,!!! RT @xRMBLx Big thanks to panitia @GreaserPartyID yg memberikan booth gratis @ForBALI13 & @WALHIBali yg menyuarakan #BaliTolakReklamasi .,JRX_SID,panitia booth gratis menyuarakan
