date	tweets	user	clean_text1
14/08/13	#BaliTolakReklamasi w / @madebayak (Geekssmile ) @gunakupit (Nosstress ) @baliekarock (Wali ) @copoktbh (Bullhead )	JRX_SID	geekssmile nosstress wali bullhead
14/08/13	Di ruang DPRD ini akan berlangsung dialog ttg #BaliTolakReklamasi (diluar gedung polisi mulai <e2><80><a6>	JRX_SID	ruang dprd dialog diluar gedung polisi
14/08/13	2 . Suasana sebelum dengar pendapat di DPRD Bali utk #BaliTolakReklamasi !	JRX_SID	suasana dengar pendapat dprd bali
11/08/13	Gerakan #BaliTolakReklamasi bukan hanya milik orang dewasa ! #EcoDefender #FTG	JRX_SID	gerakan milik orang dewasa
30/11/15	"Coz the Devils never rest ! 
#INK13 #BaliTolakReklamasi"	JRX_SID	devils rest
25/11/15	"""True to your heart , there <e2><80><99>s nothing stronger than the bullets of your mind "" ~ JRX

#INK13 #BaliTolakReklamasi"	JRX_SID	true heart stronger bullets mind jrx
19/11/15	NP - Whisper In Time - Bad Religion . Such a beautiful song before go to a war . Sampai jumpa jam 2 siang ini di Renon ! #BALITOLAKREKLAMASI	JRX_SID	np whisper time bad religion beautiful song war jumpa jam siang renon
01/11/15	Selalu support band yg TULUS - KONSISTEN dukung perjuangan #BaliTolakReklamasi - spt @parau666 raksasa metal Bali .	JRX_SID	dukung band tulus konsisten dukung perjuangan raksasa metal bali
31/10/15	Bukan krn mereka dukung #BALITOLAKREKLAMASI , tp jujur saya rasa @the_dissland = salah1 band terbaik Bali . Lirik , attitude , nada , SELARAS !	JRX_SID	dukung jujur salah1 band terbaik bali lirik attitude nada selaras
24/10/15	Interview CEO @TheBodyShopIndo ibu @SuzyHut ttg #BaliTolakReklamasi , Munir dll >  - and I 'm a proud TBS rider !	JRX_SID	interview ceo munir proud tbs rider
15/10/15	Ada 70 pcs kaos #BALITOLAKREKLAMASI original yg diijual di Jogja hari ini saja . Hasilnya 100 % utk perjuangan . Cek :	JRX_SID	seventy pcs kaos original diijual jogja onehundred perjuangan cek
08/09/15	TIDAK . Luar Bali hub . @radic_co ya . RT @ragildeni1 Mau nanya bli JRX , apa setiap konser SID ada stand yg ngejual kaos #BaliTolakReklamasi ?	JRX_SID	bali hubung nanya jrx konser sid stand ngejual kaos
06/09/15	& @heruwa of @shaggydogjogja berkaos #BaliTolakReklamasi @ Soundrenaline GWK . Penguasa rakus tak bs redam kebenaran !	JRX_SID	berkaos soundrenaline gwk penguasa rakus redam kebenaran
06/09/15	Coky @Blueskycloud9 Dead Squad dgn kaos #BALITOLAKREKLAMASI di Soundrenaline GWK . Band2 lokal , tunjukkan jg nyalimu !	JRX_SID	coky dead squad kaos soundrenaline gwk band lokal tunjukkan nyalimu
14/08/15	"Tiba di Surabaya disambut squad RMBL . Suwun guys ! 

#Outsiders #LadyRose #xRMBLx #Dickies #SID #BaliTolakReklamasi"	JRX_SID	surabaya disambut squad rmbl suwun
22/07/15	@susipudjiastuti And u 've been loving this country in a right way , ibu . Pls support good /honest people 's movement ya :)  #BALITOLAKREKLAMASI	JRX_SID	loving country dukung honest people movement
07/07/15	Karena di luar kota , saya melewatkan parade budaya #BALITOLAKREKLAMASI . Tadi SID diwakili @baliekarock & anaknya :)	JRX_SID	kota melewatkan parade budaya sid diwakili anak
29/06/15	Suksma semua yg ke #PenggakMenMersi tadi . Lawan terus sampai robot -robot itu karatan dan mati ! #BALITOLAKREKLAMASI	JRX_SID	suksma lawan robot robot karatan mati
14/06/15	Outsiders dgn selera berpakaian tidak simpang siur memberi lukisan bertema #BALITOLAKREKLAMASI di Lampung . Gagah !	JRX_SID	outsiders selera berpakaian simpang siur lukisan bertema lampung gagah
14/06/15	Haha . Malaikat nakal . RT @Ryaannakbar Gimana imut gak bli ? JRX #xRMBLx #BaliTolakReklamasi	JRX_SID	malaikat nakal gimana imut jrx
26/05/15	Acara seru besok di kampus UNHI , Tembau , Penatih , Denpasar . Yuk sambangi ! #BaliTolakReklamasi #sebarkan	JRX_SID	acara seru besok kampus unhi tembau penatih denpasar ayo sambangi
25/05/15	Ayo #Bergerak dalam #ParadeBudaya , Kamis 28 Mei 2015 . #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad #SEBARKAN	JRX_SID	ayo kamis twentyeight mei
07/05/15	Ramaikan @OSD_BALI 6th Anniversary #KutaBeachCleanup 10 Mei , 2PM . Serempak kenakan kaos #BaliTolakReklamasi !!!	JRX_SID	ramaikan 6th anniversary ten mei serempak kenakan kaos
04/05/15	Gagah . Terima kasih . RT @reshulg tadi secara langsung saya teriakan #balitolakreklamasi saat jokowi kluar mobil ...	JRX_SID	gagah terima kasih langsung teriakan jokowi mobil
26/04/15	Hari ini ada @Rumble_Empire di Singaraja ! Lapangan kampus tengah Undiksha , sampai jam 10 ! #BaliTolakReklamasi	JRX_SID	singaraja lapangan kampus undiksha jam ten
25/04/15	Aduh . RT @Ayurachmadanii Sudah cantik belom om  #rmblfedora #ladyrose #balitolakreklamasi JRX @xRMBLx	JRX_SID	aduh cantik belom jrx
13/04/15	!!! RT @xRMBLx Bobby @marjinalanarcho saat berkunjung ke lapak @ForBALI13 . #BaliTolakReklamasi	JRX_SID	bobby berkunjung lapak
08/04/15	Jakarta ! Kaos #BaliTolakReklamasi resmi dari @ForBALI13 bisa didapatkan di sini , dari 10 - 12 April 2015 !  #plsRT	JRX_SID	jakarta kaos resmi didapatkan april
07/04/15	!!! RT @xRMBLx Big thanks to panitia @GreaserPartyID yg memberikan booth gratis @ForBALI13 & @WALHIBali yg menyuarakan #BaliTolakReklamasi .	JRX_SID	panitia booth gratis menyuarakan
07/04/15	Jakarta ! Kaos #BaliTolakReklamasi resmi dari @ForBALI13 bisa didapatkan di sini , tgl 10 -12 April 2015 !  #plsRT	JRX_SID	jakarta kaos resmi didapatkan tanggal april
06/04/15	Jakarta ! Kaos #BaliTolakReklamasi resmi dari @forBALI13 bisa kalian dapatkan di sini , tgl 10 -12 April 2015 !  #plsRT	JRX_SID	jakarta kaos resmi dapatkan tanggal april
25/03/15	BUAHAHAHA ! RT @Aditiarenaldi9 JRX coba liat bli , cocok banget bli #KuatKitaBersinar #BaliTolakReklamasi	JRX_SID	jrx coba lihat cocok banget
16/03/15	HA ! Itu asli ? RT @Mikominority Seniman /Aktifis Lingkungan /Sopir Truck JRX @xRMBLx . #BaliTolakReklamasi	JRX_SID	asli seniman aktivis lingkungan sopir truck jrx
26/02/15	Dan @POISON_AND_ROSE feat . @ominx_ladyrose bawakan lagu #BALITOLAKREKLAMASI di #WarungTwice @RumbleshopUbud . Lawan !	JRX_SID	feat bawakan lagu lawan
25/02/15	Pls RT @ForBALI13 Dikemas ringan tapi mengena : THE COMMENT - #BaliTolakReklamasi bersama JRX    cc @susipudjiastuti	JRX_SID	dikemas ringan mengena comment jrx
20/02/15	Lawan ! RT @shitlicious This is why I support #BaliTolakReklamasi . What JRX says really makes sense .	JRX_SID	lawan dukung jrx makes sense
21/01/15	Besok di Denpasar ! Konser untuk #BaliTolakReklamasi . Jangan henti lawan kerakusan penguasa dengan musik ! #plsRT	JRX_SID	besok denpasar konser henti lawan kerakusan penguasa musik
17/01/15	Besok saya membacakan puisi di acara #BaliTolakReklamasi di @PuriKesiman . Ada band + DJ reggae juga . Gratis ! Yuk !	JRX_SID	besok membacakan puisi acara band dj reggae gratis ayo
29/12/16	"Dan suatu saat nanti ia berkata <e2><80><9c>Aku jatuh cinta untuk melawan dunia <e2><80><9d>.

Photo : @ucok_olok
#devildice #ketogsemprong #balitolakreklamasi"	JRX_SID	jatuh cinta melawan dunia photo
31/10/16	"Video @DEVlLDICE semalam di Sumerta , Denpasar .  I love stage diving ! 

Video : Regentara

#balitolakreklamasi #sumerta #denpasar"	JRX_SID	video semalam sumerta denpasar love stage diving video regentara
30/10/16	Yg di Denpasar merapat ke Lapangan Dojo jalan Tulip skrg . @The_Dissland ngamuk di panggung . Lalu ada @DEVlLDICE . FREE . #balitolakreklamasi	JRX_SID	denpasar merapat lapangan dojo jalan tulip ngamuk panggung free
30/10/16	"Orchard was mad ! See u tonite in Sumerta DPS . @DEVlLDICE  will put an end to ur weekend . Pic : @erickest .
#balitolakreklamasi #konsermini"	JRX_SID	orchard mad tonite sumerta dps weekend
24/10/16	"Konser mini #balitolakreklamasi yg dihadiri 1000 -an warga di Pemogan . 

Thanx @petdelonge u / foto , thanx @thebodyshopindo u / kulit sehatnya"	JRX_SID	konser mini dihadiri onethousand warga pemogan foto kulit sehatnya
24/10/16	Semalam di konser mini #balitolakreklamasi yang dihadiri sekitar 1000 -an warga (not so mini , eh )<e2><80><a6>	JRX_SID	semalam konser mini dihadiri onethousand warga mini
17/10/16	"Voice of the resistance ! Forever fire !

@devildice13 at @kutabeachfestival

Video : @ucok_olok
#BaliTolakReklamasi #kutabeachfestival2016"	JRX_SID	voice resistance forever fire video
17/10/16	"Thank you for the photo , @reksawirata !

#devildice #kutabeachfestival2016 #xRMBLx #balitolakreklamasi #takingourheartsbacktour2016"	JRX_SID	photo
11/10/16	"Repost from @forbali13 .

Bersatu kita teguh !

_

#BaliTolakReklamasi #BatalkanPerpreslimasatuThbjad #festivalnusapenida2016

Photo : @ucok_olok"	JRX_SID	repost bersatu teguh photo
11/10/16	"Repost from @forbali13 

Bersatu kita teguh !

_

#BaliTolakReklamasi #TolakReklamasiTelukBenoa <e2><80><a6>"	JRX_SID	repost bersatu teguh
10/10/16	"Gimme fuel , gimme fire , gimme that which I desire ! ~ M

Photo by @ucok_olok
#festivalnusapenida2016 #balitolakreklamasi #xRMBLx #dickies"	JRX_SID	gimme fuel gimme fire gimme desire photo
21/09/16	Karena jadwal gig SID dipangkas terkait #BaliTolakReklamasi , saya jalani bisnis baru as a lynch mob . For real . Its pretty good money tho .	JRX_SID	jadwal gig sid dipangkas terkait jalani bisnis lynch mob real pretty money tho
21/09/16	Kedamaian tanpa keadilan = ilusi terbesar peradaban . Jangan harap ada damai sebelum perpres limasatu /bjad dibatalkan . #BaliTolakReklamasi #Puputan	JRX_SID	kedamaian keadilan ilusi terbesar peradaban harap damai perpres limasatu bjad dibatalkan
20/09/16	Ya , @xRMBLx memang agak 'dijauhi ' karena keterlibatan kami yg intens dalam gerakan #balitolakreklamasi . Clothing ya mending jualan aja , aman	JRX_SID	dijauhi keterlibatan intens gerakan clothing mending jualan aman
14/09/16	Meski sering demo #BaliTolakReklamasi tapi perawatan tubuh juga mesti dijaga . Been using these <e2><80><a6>	JRX_SID	demo perawatan tubuh mesti dijaga
08/09/16	"Suara pembebasan dari Nusa Lembongan .

#SayaTolakReklamasi #BaliTolakReklamasi <e2><80><a6>"	JRX_SID	suara pembebasan nusa lembongan
04/09/16	Di tengah aksi 'pembungkaman ' terhadap #BaliTolakReklamasi (dilarang bicara BTR /memakai baju <e2><80><a6>	JRX_SID	aksi pembungkaman dilarang bicara btr memakai baju
03/09/16	@DEVlLDICE dgn #BaliTolakReklamasi bergema di Ubud ! Tidak ada intel /tentara yg mengganggu kami .<e2><80><a6>	JRX_SID	bergema ubud intel tentara mengganggu
30/08/16	Aspirasi rakyat yg tidak main -main untuk #BaliTolakReklamasi sejak hampir 4 tahun yg lalu <e2><80><a6>	JRX_SID	aspirasi rakyat main main
25/08/16	Meski @sanurfestival tidak support #BaliTolakReklamasi tapi saya dan kawan -kawan ada di sini <e2><80><a6>	JRX_SID	dukung kawan kawan
24/08/16	Sampai jumpa di Renon jam 2 siang ini di Renon bersama ribuan warga adat untuk aksi #BaliTolakReklamasi :)	JRX_SID	jumpa renon jam siang renon ribuan warga adat aksi
24/08/16	Salam #BaliTolakReklamasi mbak :) suwun .	JRX_SID	salam suwun
24/08/16	Kaos #BaliTolakReklamasi sudah tersedia di @rumble_empire Teuku Umar , Denpasar . Tidak , toko kami <e2><80><a6>	JRX_SID	kaos tersedia teuku umar denpasar toko
15/08/16	Inilah salah satu bentuk 'pembunuhan ' thd gerakan #BaliTolakReklamasi , sebuah gerakan rakyat <e2><80><a6>	JRX_SID	salah bentuk pembunuhan gerakan gerakan rakyat
10/08/16	Takut jadi kampanye #BaliTolakReklamasi , mungkin :)	JRX_SID	takut kampanye
16/07/16	Sampai jumpa besok bersama @SID_Official dalam deklarasi desa adat Sanur #balitolakreklamasi !     by @guswib	JRX_SID	jumpa besok deklarasi desa adat sanur
